サービス名,URL,favicon_url,favicon_img,KeyWord,metaDiscription,OGP_url,ogp_img,OGP文章,Title,ドメイン
AbemaTV,https://abema.tv/,https://abema.tv/favicon.ico?v=2,,なし,AbemaTV(アベマTV)は最新ニュースやオリジナル番組をはじめ、アニメやドラマ、音楽、スポーツなど多彩な番組が楽しめる約20チャンネルをすべて無料で提供しています。PC、スマホ、タブレット、テレビでお楽しみいただけます。,https://hayabusa.io/abema/assets/splash.v1.w800.png,,AbemaTV(アベマTV)は最新ニュースやオリジナル番組をはじめ、アニメやドラマ、音楽、スポーツなど多彩な番組が楽しめる約20チャンネルをすべて無料で提供しています。PC、スマホ、タブレット、テレビでお楽しみいただけます。,AbemaTV(アベマTV) | 無料で楽しめるインターネットテレビ局,abema.tv
食べログ,https://tabelog.com/,https://tblg.k-img.com/images/smartphone/favicon.png?20140320,,"グルメ,レストラン","お店選びで失敗したくない人のためのグルメサイト「食べログ」は全国にあるレストラン900,101件の飲食店情報を掲載中。独自のランキングやユーザーの口コミ・写真をもとに、様々なジャンルの人気のレストラン、目的や予算にぴったりのお店が見つけられます！",https://tabelog.com/images/rst/area/icon_fb_tabelog.gif,,"全国にあるレストラン900,101件を一般ユーザーの口コミをもとに集計した様々なグルメランキングから探すことができます。美味しいレストランや、人気のレストランが簡単に見つかります！",食べログ - ランキングと口コミで探せるグルメサイト,tabelog.com
Retty,https://retty.me/,https://retty.me/favicon.ico,,"retty,れってぃ,レッティ,グルメ,口コミ",日本最大級の実名型グルメサービスRetty。Rettyでは、全国の信頼できる実名口コミを検索することができます。地図情報・営業時間・写真の情報も揃っています。,https://retty.me/images/icon.png,,日本最大級の実名型グルメサービスRetty。Rettyでは、全国の信頼できる実名口コミを検索することができます。地図情報・営業時間・写真の情報も揃っています。,Rettyグルメ[レッティ],retty.me
クックパッド,https://cookpad.com/,https://assets.cpcdn.com/assets/device/apple-touch-icon.png?92b8bd477aedd34713e3d853583626f4d29101bdc7e6ceb52dcfe037b49e0988,,"レシピ,簡単,料理,COOKPAD,くっくぱっど,recipe",日本最大の料理レシピサービス。293万品を超えるレシピ、作り方を検索できる。家庭の主婦が実際につくった簡単実用レシピが多い。利用者は6000万人。自分のレシピを公開することもできる。,https://cookpad.com/assets/logos/og_image_1200x630.png,,,レシピ検索No.1／料理レシピ載せるなら クックパッド,cookpad.com
クラシル,https://www.kurashiru.com/,https://www.kurashiru.com/files/kurashiru_icon.png,,"料理,レシピ,献立,簡単,料理動画,レシピ動画,おかず,kurashiru,クラシル,くらしる",kurashiru [クラシル]は料理レシピ動画でおいしい料理を簡単に学べ、きょうの献立、冷蔵庫の残り物、スーパーの材料で、家族も喜ぶ美味しい料理のレシピや作り方を分かりやすいレシピ動画でみれます。,https://www.kurashiru.com/files/kurashiru_ogp.png,,,kurashiru [クラシル] | 料理動画(レシピ動画)で簡単おいしい,www.kurashiru.com
DELISH KITCHEN,https://delishkitchen.tv/,https://delishkitchen.tv/s/images/favicon.ico,,"DELISH KITCHEN, デリッシュ, デリッシュキッチン, レシピ動画, 料理動画, 料理, cook, cooking, recipe, 簡単料理, 簡単レシピ, レシピ サイト, 1分料理動画, 1分レシピ動画, 1分動画",DELISH KITCHEN（デリッシュキッチン）はCMで話題の国内No1レシピ動画（料理動画）メディア。毎日の朝ごはんや、お弁当のおかず、ダイエットにうれしい野菜たっぷりのレシピなど、家族が喜ぶおいしいご飯のレシピが1分ほどの料理動画と解説で簡単に作れます！,assets/noimage.png,,DELISH KITCHEN（デリッシュキッチン）はCMで話題の国内No1レシピ動画（料理動画）メディア。毎日の朝ごはんや、お弁当のおかず、ダイエットにうれしい野菜たっぷりのレシピなど、家族が喜ぶおいしいご飯のレシピが1分ほどの料理動画と解説で簡単に作れます！,DELISH KITCHEN | 料理レシピ動画で作り方が簡単にわかる,delishkitchen.tv
Airbnb,https://www.airbnb.jp/,https://a0.muscache.com/airbnb/static/icons/apple-touch-icon-120x120-52b1adb4fe3a8f825fc4b143de12ea4b.png,,なし,Airbnbで一生忘れられない旅をしよう。近場に眠る大冒険、遠い異国のアドベンチャーを探し、世界中のユニークな家、体験、スポットにアクセス。,https://a0.muscache.com/airbnb/static/logos/trips-og-1280x630-9de9c338cc3fd9b5663fb80be0cbe8c2.jpg,,Airbnbで一生忘れられない旅をしよう。近場に眠る大冒険、遠い異国のアドベンチャーを探し、世界中のユニークな家、体験、スポットにアクセス。,現地の人から借りる家、体験&スポット - Airbnb,www.airbnb.jp
menta,https://menta.work/,https://menta.work/resource/img/favicon.ico,,,MENTAは、なにか困った時に相談できる関係がつくれる場所。個人が得意なことを教えたり、教えてもらったりできるプラットフォームです。,https://menta.work/resource/img/ogp.png,,MENTAは、なにか困った時に相談できる関係がつくれる場所。個人が得意なことを教えたり、教えてもらったりできるプラットフォームです。,メンターに教えてもらおう｜MENTA（メンタ）,menta.work
TimeTIcket,https://www.timeticket.jp/,https://res.cloudinary.com/timeticket/image/upload/favicon_lg.ico,,"TimeTicket,タイムチケット",わたしの30分、売りはじめます。,https://www.timeticket.jp/app_img,,わたしの30分、売りはじめます。,タイムチケット | 個人の時間を30分単位で売り買い,www.timeticket.jp
REQU,https://requ.ameba.jp/,https://requ.ameba.jp/favicon.ico,,"REQU, リキュー, Ameba, アメーバ, スキルシェア, 知識, 特技, スキル, マーケット",REQU [リキュー] は、知識や特技のマーケットです。タレント、インフルエンサー、専門家を中心に、個性的な販売者にオーダーメイドや相談をお願いしたり、特別な作品、記事を購入したりできます。,https://hayabusa.io/static/images/bb68bb37-ba07-44ba-93f4-90776bfc892b.png,,REQU [リキュー] は、知識や特技のマーケットです。タレント、インフルエンサー、専門家を中心に、個性的な販売者にオーダーメイドや相談をお願いしたり、特別な作品、記事を購入したりできます。,REQU [リキュー] - 知識や特技のマーケット,requ.ameba.jp
KidsLine,https://kidsline.me/,https://kidsline.me/img/favicon.png,,"キッズライン, KIDSLINE, kidsline, キッズサポーター, シッター, 育児保育, 病児保育, マッチング",ベビーシッターなら1時間1000円の料金から利用できる業界最安値で安全安心のkidsline(キッズライン)。キッズラインが一人ひとり面談し厳選したベビーシッターで、病児保育などの急なご依頼にもすぐに対応できるベビーシッターが待っています。入会金不要で手続きもオンラインで簡単。手軽にベビーシッターをご利用いただけます。,https://kidsline.me/img/common/fb_share_image.jpg,,業界最安値で安全安心のベビーシッターサービス。全員面談と研修を経たベビーシッターで、病児保育等の急な依頼に対応できる方も登録しています。入会金不要で手続きもオンラインで簡単！すぐにご利用いただけます。,キッズライン | ベビーシッターマッチング・病児保育/一時保育,kidsline.me
